advertiser_id,order_date,orders,lines,revenue,customers
0015a82c2db000af6aaaf3ae2ecb0532,2017-09-26,1,1,916.02,1
0015a82c2db000af6aaaf3ae2ecb0532,2017-10-12,1,1,916.02,1
0015a82c2db000af6aaaf3ae2ecb0532,2017-10-18,1,1,916.02,1
001cca7ae9ae17fb1caed9dfb1094831,2017-02-04,1,1,121.05000000000001,1
001cca7ae9ae17fb1caed9dfb1094831,2017-02-18,1,5,573.85,1
001cca7ae9ae17fb1caed9dfb1094831,2017-02-23,1,1,116.30000000000001,1
001cca7ae9ae17fb1caed9dfb1094831,2017-02-27,2,4,484.20000000000005,2
001cca7ae9ae17fb1caed9dfb1094831,2017-03-02,1,2,242.10000000000002,1
001cca7ae9ae17fb1caed9dfb1094831,2017-03-03,1,1,114.77000000000001,1
001cca7ae9ae17fb1caed9dfb1094831,2017-03-15,1,2,202.26000000000002,1
001cca7ae9ae17fb1caed9dfb1094831,2017-03-17,1,2,310.1,1
001cca7ae9ae17fb1caed9dfb1094831,2017-03-23,2,5,684.97,2
001cca7ae9ae17fb1caed9dfb1094831,2017-03-25,1,1,101.13000000000001,1
001cca7ae9ae17fb1caed9dfb1094831,2017-03-27,2,2,210.96000000000004,2
001cca7ae9ae17fb1caed9dfb1094831,2017-03-28,1,1,156.58,1
001cca7ae9ae17fb1caed9dfb1094831,2017-03-31,1,1,101.13000000000001,1
001cca7ae9ae17fb1caed9dfb1094831,2017-04-02,1,1,101.13000000000001,1
001cca7ae9ae17fb1caed9dfb1094831,2017-04-04,1,1,174.53,1
001cca7ae9ae17fb1caed9dfb1094831,2017-04-08,1,1,126.95,1
001cca7ae9ae17fb1caed9dfb1094831,2017-04-09,1,1,126.95,1
001cca7ae9ae17fb1caed9dfb1094831,2017-04-10,1,1,129.06,1
001cca7ae9ae17fb1caed9dfb1094831,2017-04-11,2,3,385.43999999999994,2
001cca7ae9ae17fb1caed9dfb1094831,2017-04-16,1,1,120.36,1
001cca7ae9ae17fb1caed9dfb1094831,2017-04-17,1,1,155.67000000000002,1
001cca7ae9ae17fb1caed9dfb1094831,2017-04-20,1,2,308.28,1
